"","CLNT_ID","CLNT_AGE","CLNT_GENDER"
"41",4842089,30,"F"
"599",445551,30,"F"
"1201",791309,30,"F"
"1233",596139,30,"F"
"1361",3725527,30,"F"
"2438",5769027,30,"F"
"2724",5802555,30,"F"
"2735",5809740,30,"F"
"3245",4661075,30,"F"
"3535",881005,30,"F"
"4195",5175856,30,"F"
"4446",5350362,30,"F"
"4683",5310905,30,"F"
"4721",5369970,30,"F"
"4855",5399147,30,"F"
"4885",5466792,30,"F"
"4930",5747960,30,"F"
"5020",1104605,30,"F"
"5177",1195929,30,"F"
"5426",1295667,30,"F"
"5542",1309901,30,"F"
"5779",1658600,30,"F"
"6249",94048,30,"F"
"6529",59693,30,"F"
"6720",620038,30,"F"
"6727",622348,30,"F"
"7286",3718806,30,"F"
"7655",270728,30,"F"
"7896",2029740,30,"F"
"7898",2030110,30,"F"
"8527",5561008,30,"F"
"9509",1237906,30,"F"
"9963",1179853,30,"F"
"10301",4059214,30,"F"
"10603",2123848,30,"F"
"10712",143057,30,"F"
"10741",149040,30,"F"
"10797",2058950,30,"F"
"10891",2061275,30,"F"
"10985",1531873,30,"F"
"11525",3998599,30,"F"
"11552",4008874,30,"F"
"12154",210965,30,"F"
"12264",384063,30,"F"
"12509",1599460,30,"F"
"12512",1788227,30,"F"
"12622",1603065,30,"F"
"13299",330697,30,"F"
"14118",3235983,30,"F"
"14253",3270968,30,"F"
"14267",3280580,30,"F"
"14351",3433618,30,"F"
"14392",3279190,30,"F"
"14504",3450583,30,"F"
"14703",2312571,30,"F"
"14756",2144578,30,"F"
"14921",2161056,30,"F"
"15024",2355594,30,"F"
"15158",3369725,30,"F"
"15245",3399748,30,"F"
"15374",5724325,30,"F"
"15619",5824887,30,"F"
"15972",2660558,30,"F"
"15994",2740455,30,"F"
"16579",3138948,30,"F"
"17562",3726850,30,"F"
"17689",3734023,30,"F"
"17921",3777309,30,"F"
"18209",3824338,30,"F"
"18402",2450181,30,"F"
"18428",593872,30,"F"
"18461",609652,30,"F"
"18687",4718973,30,"F"
"19215",1304835,30,"F"
"19475",1516644,30,"F"
"19557",3939557,30,"F"
"19754",5255859,30,"F"
"19972",5598061,30,"F"
"20005",5680253,30,"F"
"20304",67394,30,"F"
"20693",918545,30,"F"
"20895",947069,30,"F"
"21091",1024243,30,"F"
"21463",2486538,30,"F"
"21666",2395036,30,"F"
"21691",2401316,30,"F"
"21841",2418493,30,"F"
"22413",4219189,30,"F"
"22510",4201422,30,"F"
"22556",4237002,30,"F"
"22851",2199872,30,"F"
"23222",5658441,30,"F"
"23284",5591592,30,"F"
"23601",1796574,30,"F"
"23847",1689788,30,"F"
"23876",1695970,30,"F"
