"","PD_C","PD_NM","CLAC1_NM","CLAC2_NM","CLAC3_NM"
"52",109858,"[나이키]나이키 스포츠웨어 티 AA6414-395 - 95","스포츠패션","남성일반스포츠의류","남성트레이닝복"
"67",269117,"[하프클럽/아레나스포츠]아레나 여성 베이직 카라 반팔 티셔츠 SPYRP42 - Orange/105","스포츠패션","남성일반스포츠의류","남성스포츠점퍼/재킷"
"124",243270,"S/S 가먼트 다잉 변형 무릎절개 워싱 면바지 64PC301 - 워싱베이지(83) / 34(86)","남성의류","남성의류하의","남성캐주얼바지"
"133",288446,"유아 물안경,지갑 외 잡화 7종 택1 - 04_텀블러 젤리피쉬","시즌스포츠","수영/물놀이","수영가방"
"156",369233,"남성 9부 린넨 전체 밴딩 바지 O172PT450P - 네이비(06) / 28","남성의류","남성의류하의","남성캐주얼바지"
"247",341565,"나이리 블라우스(EWBLHE16) - 핑크 / 66","여성의류","여성의류상의","여성남방셔츠"
"269",242764,"백팩 클라스 챌린저 트루 블랙 TRUE BLACK","패션잡화","캐쥬얼가방","노트북가방"
"294",332436,"SofTouch 모유실감젖병160ml(꿀벌)","출산/육아용품","수유/이유용품","젖병/젖꼭지"
"305",304640,"AHC 내추럴 퍼펙션 프레쉬 선스틱세트","화장품/뷰티케어","선케어","선크림류"
"321",371828,"쥬쥬 썬캡 [잉크 18SC-J02] [L0567] - 쥬쥬-L0567","패션잡화","모자","아동모"
"386",263811,"선레이 프로텍트 2 (PS)  943826-001 - 180","스포츠패션","유아동스포츠화","유아동스포츠샌들/슬리퍼"
"431",386920,"8832971422에어리쿨히어로나시상하 - 옐로우 / 110","유아동의류","남아의류세트","남아의류세트"
"562",52043,"네이비 모던 스웨트 셔츠 (BI8841B02R) - 남색 / 145","유아동의류","유아의류상의","영유아티셔츠/탑"
"625",6179,"마이비 실리콘 아기 콧물흡입기","출산/육아용품","수유/이유용품","젖병/젖꼭지"
"696",82670,"[미쏘맨] 시어서커 셋업 팬츠 (MIMTW8514S) - NAVY / 32","남성의류","남성의류하의","남성캐주얼바지"
"743",7884,"수퍼 리프팅 아이크림 2.0 위드 하록실 - 남성 주름 개선 기능성 인증 제품","화장품/뷰티케어","남성케어","남성용스킨케어류"
"752",845132,"룩 앳 마이 아이즈 NEW -BE104 향초켜고 거품목욕 /아이섀도우","화장품/뷰티케어","메이크업","아이섀도우"
"771",834272,"BYC남성 5매입 트렁크팬티(Kl602) - 110","속옷/양말/홈웨어","남성속옷","남성팬티"
"773",831486,"PILLO(필로) M090 패브릭 좌식의자 - 머스타드","가구","사무용/학생용가구","책상의자"
"777",812432,"[팬시피스트] 인스퍼레이션 치킨,파스타,시금치 70G 12팩","원예/애완","고양이용품","고양이간식"
"789",801995,"Czech Army Trainer 2(체코 아미 트레이너 2) 스니커즈 CAT2 - EU43 / 280mm","패션잡화","남성화","남성스니커즈"
"793",796450,"티트리 스킨 클리어링 데일리 솔루션 50ML(55018)","화장품/뷰티케어","스킨케어","에센스/세럼"
"803",791653,"[제이에스티나] SWEETOON MD 쇼퍼백 (H16SWH53-D05BLU)","패션잡화","여성가방","여성숄더백"
"804",783192,"아동바지 TR 레깅스 - TR 레깅스 / 아이보리9호","유아동의류","여아의류하의","여아레깅스"
"866",782361,"NEW 이니스프리 자연발효 에너지 크림","화장품/뷰티케어","스킨케어","크림/밤/오일"
"881",462260,"베이커리 7부쟈가드 주니어 실내복 상하의세트 - [7부]베이커리 160호 (ⓑ7J16-160ⓒ)","속옷/양말/홈웨어","유아동속옷","유아동내의"
"929",358998,"마블 P-SM01 컴퓨터 게이밍의자(스파이더맨) - 마블 스파이더맨 의자","가구","사무용/학생용가구","책상의자"
"942",290964,"여 포플린 하프플라켓 반팔 셔츠(풀오버) 347515 - 01 / S","남성의류","남성의류상의","남성티셔츠"
"975",441321,"[임부복닷컴]스페이스 빅사이즈임산부레깅스 - 네이비 / FREE ◈82825186◈","여성의류","여성의류하의","여성바지"
"994",401022,"폴로 랄프로렌 클래식핏 코튼 카라 반팔 티셔츠 - 05 그레이 / M","남성의류","남성의류상의","남성티셔츠"
"1049",398779,"여성용 여름바람막이자켓 KIJK212FN - WHT(화이트) / 90(66)","스포츠패션","여성일반스포츠의류","여성스포츠스웨트셔츠/후드/집업"
"1080",376025,"닥스 구두남성샌들 dod602 - DC(다크초코) / 255","패션잡화","남성화","남성샌들"
"1112",159448,"(KYZ2X16011BEI) 여성 GORE-TEX 트레킹화 HIGHMAX5 - BEI / 225","아웃도어/레저","등산","등산화"
"1158",68245,"남성 리넨 코튼 오버핏 밴드넥 5부 셔츠MSY2WC1505 - MUP(머스타드) / 105","남성의류","남성의류상의","남성티셔츠"
"1170",152799,"3S 타이츠 [CE2441] - CE2441(블랙) / S","스포츠패션","여성일반스포츠의류","여성스포츠티셔츠/탑"
"1195",141327,"[오가게/온더리버]로제린넨셔츠 - 아이보리/Free","여성의류","여성의류상의","여성남방셔츠"
"1228",175475,"쥬코민트남아배내가운(MCM1BE12) - 60","유아동의류","유아의류상의","배냇저고리"
"1231",169693,"3201 워터&스포츠 브라탑_LEU7WFB001BK - 블랙-BK / 여성_M","시즌스포츠","수영/물놀이","남성수영복"
"1238",244484,"스팽글 스타 반팔 티셔츠 (GIHTS711F) - 블랙(BK) / F","여성의류","여성의류상의","여성티셔츠/탑"
"1242",353254,"퍼펙틀리핏 슬리커버 SET QF4445AD-QF4374AD-101 - 75B / S","속옷/양말/홈웨어","여성속옷","여성속옷세트"
"1337",273754,"디즈니 반팔 바디수트 (88329-602-53) - BLACK / 90","유아동의류","유아의류전신","우주복"
"1360",227581,"장미 자가드 UV차단 양산 RSP-701 - 네이비","패션잡화","우산/양산류","양산"
"1372",432276,"블록 반팔 티 (87325-332-01) - IVORY / 90","유아동의류","남아의류상의","남아티셔츠/탑"
"1418",744085,"GBLP815 남성 9부 면스판바지 남자슬림일자팬츠봄가을 - GBLP815_9부면스판(연그레이M(30))","스포츠패션","남성골프의류","남성골프바지"
"1422",737532,"Ladybug bloomer - green / 4t","유아동의류","남아의류하의","남아바지"
"1452",627118,"완벽세척 미로 가습기 MIRO-NR07S","생활/주방가전","공기청정/가습/제습","가습기"
"1461",694230,"샌들할인 BHS7129 그레이 외 24종 택 1 - 09>HS8064블랙 / 235","패션잡화","여성화","여성샌들"
"1507",40867,"지컷 프릴카라 니트 7227440683 - 핑크 / FREE","여성의류","여성의류상의","여성스웨터/풀오버"
"1522",5349,"버터플라이 블루 도자기 롱스푼+미니거품기","식기/조리기구","그릇/식기","숟가락/젓가락"
"1524",4457,"배쓰 릴리 - 오렌지 (27682)","퍼스널케어","바디케어","바디워시"
"1530",822904,"허거블 립컬러 - 왓 어 필링!","화장품/뷰티케어","메이크업","립스틱/립라이너"
"1590",826315,"압솔뤼 케라틴 코팅 에센스 100ml","퍼스널케어","헤어케어","헤어에센스"
"1608",775627,"미샤 모던 섀도우 이탈프리즘 [2호 미니 캐리백]","화장품/뷰티케어","메이크업","아이섀도우"
"1610",795387,"좋은순면 수퍼롱 오버나이트 10x3","퍼스널케어","여성위생용품","생리대"
"1623",742502,"맨 퓨어-포먼스 그루밍 클레이 75ml","퍼스널케어","헤어케어","헤어에센스"
"1735",155982,"[40%OFF]나이키 남성 에어맥스 풀라이드 TR 1.5 869633-010 - 255","스포츠패션","남성스포츠화","남성런닝/트레이닝화"
"1755",840701,"[CRICRI] B1305 카네이션 볼펜 스와로브스키 크리스탈 제작 - 카네이션 볼펜_B1305","패션잡화","패션액세서리","기타패션잡화"
"1761",824539,"센시티브 스킨 모이스춰 립밤(남녀공용)","화장품/뷰티케어","스킨케어","립밤/립스크럽"
"1771",618548,"쎄씨 사운드아기열쇠(#80158)","출산/육아용품","유아발육용품","치아발육기/딸랑이"
"1781",813637,"[냉동] CJ 고메치킨 순살크리스피 550g","냉동식품","냉동간편식","냉동튀김"
"1791",833785,"소프트 훌라후프 원터치 무소음 뱃살다이어트 - 소프트 훌라후프(블루핑크)","헬스/피트니스","피트니스","피트니스용품"
"1827",825438,"BUMERANG NEW 옷걸이 8P - 내추럴","청소/세탁/욕실용품","정리용품","옷걸이"
"1834",747895,"프로3부보드숏_네이비.SM12 - 프로3부보드숏_형광그린 / 07호","시즌스포츠","수영/물놀이","아동수영복"
"1867",288865,"티셔츠 2종 CF3118 CF3121 - CF3118 / 3XL","스포츠패션","남성일반스포츠의류","남성스포츠티셔츠"
"1894",515637,"남성 코어 배색 경량베스트 KMM17691 - 화이트 / 110","스포츠패션","남성등산/아웃도어의류","남성등산베스트"
"1925",243849,"[하프클럽/빌리버스]빌리버스 토비 숄더백 BRB043 에코백 남자가방 - 블랙/FREE","패션잡화","남성가방","남성서류가방"
"1979",208123,"간절기부터 동절기까지 착장 가능한 경량 다운점퍼 [BK제로다운자켓] - BLACK / 130","유아동의류","유아의류아우터","영유아점퍼"
"1980",207094,"베이비 남아 숏 우주복 5238241104051 - 24M","유아동의류","유아의류전신","영유아점프수트/오버롤"
"1990",203917,"S500ACF new 링고 학생용의자(무회전중심봉타입+일반캐스터) - 비비드블루","가구","유아동가구","유아동의자"
"2008",667047,"샤링미니가디건(4col) - 소라 / FREE","여성의류","여성의류상의","여성가디건"
"2010",572476,"컨셉원 048102 코튼 포플린 셔츠 (10048102) - 11화이트+블루ST / M","남성의류","남성의류상의","남성남방셔츠"
"2039",439097,"코튼 베이직 로고 크루넥 티셔츠(TBMS1KOL15A0-G50) - G50 / 16(170)","유아동의류","남아의류상의","남아티셔츠/탑"
"2040",436715,"스누피 더홈 2인 10p 코리안 홈세트","식기/조리기구","그릇/식기","반상기세트/홈세트"
"2045",330898,"Ari Black - 245","패션잡화","여성화","여성샌들"
"2058",389269,"[보리보리/OHOO]헨리넥티셔츠(OHHW824B02) - 블루 120@1","유아동의류","여아의류상의","여아티셔츠/탑"
"2154",157331,"스팽글가방 프릴원피스 JH6OP109B - 그린 / free","여성의류","여성의류전신","여성원피스"
"2243",179781,"스포츠웨어 어드밴스 15 쇼츠  885926-010 - 075","스포츠패션","남성일반스포츠의류","남성일반스포츠바지"
"2291",834944,"[규랄라] 아라스 코럴 콜렉션 음료잔 365cc 6pcs 6color _S0010GULD GURALLAR","식기/조리기구","그릇/식기","음료용컵"
"2322",670042,"[로고 카고 바지] 66153S2WN V0020 /135881 - 28","남성의류","남성의류하의","남성정장바지"
"2502",352646,"남 크리스피 저지 반팔 티 028532 - 08 / L","남성의류","남성의류상의","남성티셔츠"
"2509",332166,"잇츠유 여름 풀세트 퀸Q 시어서커 리플(이불+베개/매트커버+패드) - 네이비","침구/수예","성인침구","성인침구세트"
"2511",387704,"[스케쳐스본사]18SS신상/GOWALK4 고워크4 슬립온/남녀 - 04_고워크4 슬립온_SP0WW18S141_여성 / 270","스포츠패션","남성스포츠화","남성런닝/트레이닝화"
"2629",443062,"남아화이트배색윈드브레이커 (R1825J501) - 라이트그레이(38)150","유아동의류","유아의류아우터","영유아점퍼"
"2636",395235,"남성 투톤 스트라이프 오버핏 반팔티셔츠(KA7U4-MKS130) - 화이트 / 105","남성의류","남성의류상의","남성티셔츠"
"2702",295467,"남성 크록 라운드 티셔츠TH3246-18B_001 - 004(100)","남성의류","남성의류상의","남성티셔츠"
"2740",398209,"공용 컬러블록 반팔 티셔츠 LIVE TH150L-18BGEC - 004","남성의류","남성의류상의","남성티셔츠"
"2741",397612,"마 스트레이트 팬츠(SWWSLH21130) - 멜란지블루(ML) / 77","여성의류","여성의류하의","여성바지"
"2745",230474,"레이첼 티셔츠 (J11PTT110) - 블루 / FF","여성의류","여성의류상의","여성스웨터/풀오버"
"2760",376307,"NEW 젤네일스트립_베이비 핑크 밀러 - 뷰티끄랩 NEW 젤네일스트립_베이비 핑크 밀러","화장품/뷰티케어","미용소품","네일케어도구"
"2841",309424,"[하프클럽/르오트]순수화이트 앞판 쉬폰 티셔츠 - 화이트_WT_77/free","여성의류","여성의류상의","여성티셔츠/탑"
"2890",103385,"기본넥 프릴티셔츠  CNZRXATS02OH [가을] - OH / 110[11874677-2]","유아동의류","여아의류상의","여아티셔츠/탑"
"2970",55854,"트임 슬림핏 부츠컷 팬츠 EJ2WP562 - 블랙(BK) / 55(M)","여성의류","여성의류하의","여성바지"
"3019",742450,"NEW 프로 LS 올-인-원 훼이스 하이드레이팅 젤 (75ml)","화장품/뷰티케어","남성케어","남성용스킨케어류"
"3032",740405,"리커버리크림 체험용_휴대용 (2ml x 10ea/총용량 20ml) - 20ml(10ml* 2개)","헬스/피트니스","피트니스","복근/벨트마사지기구"
"3137",596728,"헤지스남성 HZSS7F901CG 면혼방 골지 장목양말 - XXX","패션잡화","패션액세서리","기타패션잡화"
"3143",328386,"숄더 겸 토트백 M63MF403Z - 블랙","패션잡화","여성가방","여성숄더백"
"3176",511763,"18SS 미니 카라바지오 슬림 티셔츠 OMAA027S181850851088 - L","남성의류","남성의류상의","남성티셔츠"
