"","CLNT_ID","SESS_ID","HITS_SEQ","PD_C","PD_ADD_NM","PD_BRA_NM","PD_BUY_AM","PD_BUY_CT"
"17",4161209,3612192,247,125473,"사이즈:110XXL / 1개","나이키(의류)","39,000","1"
"21",4171030,2287214,19,520151,"색상:블루(BL)|사이즈:15(165) / 1개","애스크 주니어","39,000","1"
"196",4523263,4479430,206,298328,"직접입력1:베이지|직접입력2:36 / 1개","갭","39,000","1"
"239",5101344,10924794,45,761733,"신발색상:WH(화이트)|신발사이즈:250 / 1개","디스커버리","39,000","1"
"268",59693,5939404,14,208785,"색상:(남)그레이 / 1개","올삭스","100","1"
"437",2583781,675066,177,733114,"1개","솔로몬샵","240","1"
"438",2583781,696956,99,733114,"1개","솔로몬샵","240","1"
"610",5229046,8896404,35,582144,"색상:(N4)Navy / 1개","아이더","39,000","1"
"821",59693,5885056,14,207981,"색상:(여)스킨 / 1개","올삭스","100","1"
"822",59693,6340413,13,208785,"색상:(남)그레이 / 1개","올삭스","100","1"
"823",59693,6479714,28,208785,"색상:(남)그레이 / 1개","올삭스","100","1"
"824",59693,6677525,27,207981,"색상:(여)스킨 / 1개","올삭스","100","1"
"914",4416274,3501703,21,179341,"맛(기능)선택:장건강 치킨 / 1개","더독","100","1"
"922",4744492,2756955,64,71310,"default:default / 5개","더리얼","100","5"
"1001",2583781,696956,44,733114,"1개","솔로몬샵","240","1"
"1114",5531529,7101015,184,480247,"색상:블랙|사이즈:130 / 1개","뉴발란스(키즈)","39,000","1"
"1129",5559193,3454224,113,149519,"1개","키엘","39,000","1"
"1250",5740366,2043741,172,127631,"색상:BLK(블랙)|사이즈:090 / 1개","엘르 수영복","39,000","1"
"1423",3138948,9104921,29,749517,"1개","산지애","39,900","1"
"1888",6091218,270965,241,795635,"1개","네추럴코어","840","1"
"1929",59693,6025904,12,208785,"색상:(남)그레이 / 1개","올삭스","100","1"
"2121",2583781,696956,230,733114,"2개","솔로몬샵","240","2"
"2122",2583781,696956,416,733114,"1개","솔로몬샵","240","1"
"2254",3867649,7129094,27,214084,"색상:블루(BL)|사이즈:55 / 1개","쉬즈미스","39,000","1"
"2332",3990859,10536525,156,677080,"제품명:UV 페이스 프로텍터 50 / 1개","알엠케이","39,000","1"
"2353",4023625,9114543,312,377510,"1개","빌리프","39,000","1"
"2623",4206574,7165347,402,689603,"선택:아이보리(IV)-55 / 1개","쉬즈미스","39,800","1"
"2650",4419970,9494432,265,726082,"색상:선택01) 117515-04|사이즈:28 / 1개","지오다노","39,800","1"
"2654",4450332,6427257,94,669363,"선택:01_WF49946|사이즈:240 / 1개","케즈","39,800","1"
"2691",1204418,10153064,57,469549,"색상:09블랙|사이즈:25 / 1개","지오다노","39,800","1"
"2694",1231921,3595891,77,121192,"옵션명:02 3401 남성세트|색상사이즈:네이비 XL-XL / 1개","레이지비(레저)","39,800","1"
"2918",5894343,1378838,25,588249,"상품명:A(여)프리미엄파스텔무지|색상:여)그린 / 1개","올삭스","970","1"
"3058",2583781,668563,31,733114,"1개","솔로몬샵","240","1"
"3059",2583781,668563,353,733114,"1개","솔로몬샵","240","1"
"3060",2583781,696956,155,733114,"2개","솔로몬샵","240","2"
"3061",2583781,696956,289,733114,"1개","솔로몬샵","240","1"
"3164",59693,1387530,31,798607,"단품:36.5 팬티라이너 15p(+셀미인3종샘플) / 3개","예지미인","450","3"
"3182",59693,5885056,14,208785,"색상:(남)그레이 / 1개","올삭스","100","1"
"3381",5151464,266273,313,516786,"색상:330_L GREY|사이즈:FF / 1개","더아이잗","39,000","1"
"3720",3731951,757888,19,39271,"색상:인디언핑크|사이즈:66 / 1개","포커스","39,800","1"
"3750",4088695,9088002,18,475038,"옵션:105 / 1개","잭필드","39,800","1"
"3774",294186,7574753,27,233516,"색상:DNV|사이즈:32(82) / 1개","폴햄","39,900","1"
"3898",3635250,9351743,47,554713,"선택:27.딸기 / 1개","플레이비츠","990","1"
"3997",5827411,7772381,54,554713,"선택:02.파랑고래-머리 / 1개","플레이비츠","990","1"
"4435",4830576,6996254,78,755148,"모델명:올나이터 / 1개","어반디케이","39,000","1"
"4656",5597771,4775760,57,425956,"색상|사이즈:네이비(NA)L100 / 1개","펜필드(아웃도어)","39,000","1"
"4657",5599643,3213279,163,287602,"직접입력1:화이트|직접입력2:26 / 1개","갭","39,000","1"
"4744",1269695,5436655,73,819710,"1개","농협홍삼한삼인","39,900","1"
"4908",361574,7326030,54,476412,"호수:핑크 21호 / 1개","AGE20's","39,900","1"
"5013",487298,9808434,17,5441,"구분1:파랑 / 1개","솔로몬샵","840","1"
"5065",3257040,4795564,36,131042,"타입:아이크림 포페이스 / 10개","AHC","890","10"
"5376",59693,6535668,10,208785,"색상:(남)그레이 / 1개","올삭스","100","1"
"5535",5229096,8646260,58,544360,"품번:선택01.MH3D9100_DBL|사이즈:28 / 1개","게스","39,000","1"
"5580",5288199,10973981,164,469121,"색상:블랙|사이즈:28 / 1개","쥬시쥬디","39,000","1"
"5622",5341325,3092688,71,305949,"색상:BE|브라사이즈:80B|팬티사이즈:100 / 2개","원더브라(언더웨어)","39,000","2"
"5727",5531529,7101015,184,507863,"색상:네이비|사이즈:130 / 1개","뉴발란스(키즈)","39,000","1"
"5991",338296,7468585,66,276246,"색상:04_SWWOPH22070_핑크|사이즈:77 / 1개","쉬즈미스","40,000","1"
"6305",5894343,1378838,25,588156,"상품명:A(여)밴드페인팅|색상:여)블랙 / 3개","올삭스","970","3"
