"","CLNT_ID","SESS_ID","KWD_NM","SEARCH_CNT"
"663",5655700,5690248,"브라탑 래쉬가드",1
"664",5655700,5690248,"원더브라",5
"665",5655700,5690248,"지오다노 브라탑",3
"666",5655700,5690248,"원더브라 스포츠",3
"1065",5592709,9811748,"정장바지",1
"1066",5592709,9811748,"레이벤3447",1
"1067",5592709,9811748,"여자정장바지",2
"1068",5592709,9811748,"올리비아로렌 바지",1
"2408",5786398,984037,"지오지아",1
"2409",5786398,984037,"유니클로속옷",1
"2410",5786398,984037,"유니클로",1
"2411",5786398,984037,"키링",1
"2412",5786398,984037,"인터메조",1
"2966",6370296,685484,"장길영사과",2
"2967",6370296,685484,"사과",3
"2968",6370296,685484,"나이키 집업",4
"2969",6370296,685484,"사과세트",3
"2970",6370296,685484,"곶감",1
"3453",5675168,6822432,"뉴트로지나 클렌징오일",1
"3677",5752055,1290233,"남자 메탈시계",4
"3678",5752055,338016,"남자 메탈시계",3
"3679",5752055,1290233,"메탈 시계",1
"3680",5752055,1290233,"시계",1
"4557",5903005,490897,"테팔전기포트",1
"4558",5903005,490897,"전기포트",1
"4946",5738885,7629514,"나이키 플라이니트",10
"4947",5738885,5488430,"나이키 페가수스 35",1
"4948",5738885,5488430,"나이키 페가수스",3
"4949",5738885,8672096,"나이키",1
"4950",5738885,7629514,"나이키에어맥스",1
"5276",3746214,9610354,"베네피트",6
"5297",3746780,4515224,"크록스바야",1
"5298",3746780,4515224,"크록스",2
"5341",3748974,8410381,"에이치커넥트남성",1
"5342",3748974,5439524,"린넨 원피스",1
"5343",3748974,5439524,"헤지스레이디스",1
"5344",3748974,10835376,"레고 듀플로",1
"5345",3748974,5579834,"스튜디오화이트 블라우스",1
"5346",3748974,5439524,"치마",1
"5347",3748974,5439524,"탑텐여성바지",1
"5348",3748974,5439524,"여성스커트",1
"5349",3748974,5439524,"스튜디오화이트",1
"5350",3748974,5439524,"써스데이아일랜드",1
"5351",3748974,2023762,"k2마조람",3
"5352",3748974,10863083,"메쉬 모자",1
"5353",3748974,5439524,"해피바스 바디워시",1
"5354",3748974,1988933,"아디다스키즈트레이닝복",1
"5355",3748974,5579834,"스튜디오화이트",2
"5356",3748974,1988933,"뉴발란스키즈 트레이닝",1
"5357",3748974,1988933,"k2마조람",2
"5358",3748974,1988933,"노스페이스키즈",2
"5709",5764306,8628577,"아디다스",1
"5710",5764306,8628577,"키즈",4
"5711",5764306,8628577,"아디다스 둠샌들",2
"5712",5764306,8628577,"아디다스 키즈",3
"6672",4020330,5415510,"지프반팔티",1
"6673",4020330,5415510,"프레드페리",1
"6674",4020330,5415510,"게스티셔츠",1
"6787",5725678,10025072,"레트로 냉장고",1
"6887",5726412,10917279,"칼린 포피",1
"6888",5726412,10917279,"헤어팩",2
"6889",5726412,9896103,"미세먼지마스크 kf94",2
"6890",5726412,10871510,"여성가디건",1
"6891",5726412,8403981,"비욘드 미스트",1
"6892",5726412,10944421,"미세먼지 마스크",2
"6893",5726412,10944421,"랩 자켓",2
"6894",5726412,10871510,"미세먼지 마스크",2
"6895",5726412,10917279,"칼린가방",1
"6896",5726412,10039876,"슈에무라 리필",1
"6897",5726412,4159722,"메리제인 구두",2
"6898",5726412,10944421,"헤어트리트먼트",2
"6899",5726412,2743677,"오프숄더 블라우스",2
"6900",5726412,9064750,"록시땅 크림",5
"6901",5726412,9064750,"슬리핑팩",1
"6902",5726412,9064750,"키엘 크림",1
"6903",5726412,10944421,"록시땅 헤어팩",1
"6904",5726412,9064750,"화이트닝 크림",1
"6905",5726412,10944421,"무코타",1
"6906",5726412,10871510,"올리브데올리브 자켓",1
"6907",5726412,6375193,"인견 속바지",1
"6908",5726412,9064750,"록시땅 수분크림",2
"6909",5726412,9064750,"수분크림",1
"6910",5726412,4490096,"케즈 스니커즈",1
"6911",5726412,10917279,"차앤박 블랙헤드",1
"6912",5726412,2743677,"이니스프리 리무버",1
"6913",5726412,9064750,"랑콤 크림",1
"6914",5726412,7263701,"꼬달리 세럼",1
"6915",5726412,2502535,"여성 속바지",1
"6916",5726412,4159722,"메리제인",1
"6917",5726412,3486504,"시세이도 쿠션",1
"6918",5726412,10944421,"무코타 트리트먼트",1
"6994",5826824,1008570,"남자 슬랙스",1
"7788",3431766,9641745,"블랙야크키즈",1
"8258",6075654,1590554,"제이제이지고트",1
"8259",6075654,1590554,"리스트원피스",1
"8369",5852206,469595,"뉴발란스키즈",1
"8370",5852206,469595,"빈",1
"8371",5852206,469595,"빈폴키즈",1
"8372",5852206,469595,"빈 남아",1
"9022",1697287,6223532,"피셔프라이스 아기체육관",1
"9023",1697287,6223532,"아기체육관",7
"10053",6517969,799539,"보이스캐디",1
"10077",6523007,1090337,"프라다 가방",2
"10078",6523007,1090337,"프라다 여성지갑 반지갑",2
"10742",2466705,10761065,"아디다스키즈트레이닝바지",1
"10743",2466705,10761065,"아디다스키즈",1
"10744",2466705,3979173,"빈폴아웃도어여성",1
"10745",2466705,3979173,"빈폴아웃도어",1
"10746",2466705,3979173,"카누들",1
"10747",2466705,10682922,"뉴발란스 슬리퍼",1
"10748",2466705,10761065,"닥스키즈",1
"10749",2466705,10761065,"아동트레이닝세트",1
"11151",2778796,8441955,"위생팬티",1
"11152",2778796,8441955,"여성면팬티",1
"11153",2778796,8441955,"면팬티",1
"11204",3617104,9177077,"빌리프 에센스",1
"11205",3617104,9177077,"키엘",3
"11206",3617104,9177077,"빌리프",1
"11709",5976210,9668365,"헤드",1
"11926",6528532,4432713,"아이오페 모이스트젠",1
"11927",6528532,7575302,"스타벅스 텀블러",1
"11928",6528532,2016623,"정관장",1
"11929",6528532,8306895,"생수300ml",2
"11930",6528532,5109624,"김치",1
"11931",6528532,10912464,"흰색 스니커즈",2
"11932",6528532,2835241,"총각김치",5
"11933",6528532,10912464,"바디워시",1
"11934",6528532,4432713,"아이오페 기초세트",1
"11935",6528532,10912464,"바디샵 샤워젤",1
"11936",6528532,10912464,"총각김치",2
"11937",6528532,1670231,"리리코스 클렌징",1
"11938",6528532,7575302,"스타벅스",1
"11939",6528532,9698330,"파우더팩트",2
"11940",6528532,2835241,"김",1
"11941",6528532,4432713,"아이오페",1
"12011",2303521,4855405,"삼성 에어컨",1
"12012",2303521,4855405,"마몽드",3
"12543",5566062,8756582,"저스트지니",1
"12544",5566062,8756582,"저스트지니 샌들",2
"13888",6160096,265395,"유아바람막이",2
"13889",6160096,265395,"노스페이스바람막이",1
"13890",6160096,265395,"꼬망스원피스",1
"13891",6160096,265395,"갭여아",1
"13892",6160096,265395,"노스페이스키즈",5
"13893",6160096,265395,"여아점퍼",1
"13894",6160096,265395,"아디다스키즈",1
"13895",6160096,265395,"갭키즈 여아",1
"13896",6160096,265395,"블루독바람막이",1
"13897",6160096,1057592,"여아티셔츠",1
"13898",6160096,265395,"아디다스바람막이",1
"14011",5990084,6621483,"질스튜어트 반지갑",1
"14012",5990084,6621483,"브러쉬",1
"14013",5990084,6621483,"제이에스티나 지갑",1
"14014",5990084,6621483,"제이에스티나 지갑 반지갑",1
"14015",5990084,6621483,"파운데이션 브러쉬",1
"14016",5990084,6621483,"루이까또즈 반지갑",1
"14017",5990084,6621483,"러브캣 반지갑",1
"14018",5990084,10060784,"설화수 쿠션",1
"14154",473225,9366512,"아사이베리 분말",4
"14947",5897141,6747891,"쥬시쥬디",3
"14948",5897141,6747891,"라코스테 원피스",3
"14949",5897141,2570297,"숨",3
"14950",5897141,6747891,"KENZO",1
"14951",5897141,6747891,"빈폴원피스",4
"14952",5897141,6747891,"겐조 원피스",4
"14953",5897141,2522969,"숨쿠션",1
"14954",5897141,2522969,"정샘물 쿠션",3
"14955",5897141,2570297,"오휘",1
