"","CLNT_ID","SESS_ID","SESS_SEQ","SESS_DT","TOT_PAG_VIEW_CT","TOT_SESS_HR_V","DVC_CTG_NM","ZON_NM","CITY_NM"
"126",6075654,1590554,16,20180904,154,"1,258","mobile","Busan","Busan"
"159",5990084,6621483,47,20180611,497,"3,526","mobile","Seoul","Seoul"
"160",5990084,10060784,31,20180416,63,"509","mobile","Seoul","Seoul"
"199",5998974,345977,6,20180925,23,"447","mobile","Daegu","Daegu"
"201",5998987,6551406,14,20180613,1,"6","mobile","Jeollabuk-do","Namwon-si"
"202",5998987,6554879,13,20180612,63,"1,538","mobile","Jeollabuk-do","Namwon-si"
"322",6005276,797068,8,20180917,68,"1,124","mobile","Chungcheongbuk-do","Cheongju-si"
"323",6005276,863663,7,20180916,85,"676","mobile","Chungcheongbuk-do","Cheongju-si"
"371",5879003,129263,129,20180928,56,"1,271","mobile","Chungcheongnam-do","Gongju-si"
"594",5949774,3445541,45,20180803,32,"462","mobile","Seoul","Seoul"
"817",6079347,9719900,173,20180421,64,"1,006","mobile","Daejeon","Daejeon"
"818",6079347,10763665,164,20180404,42,"1,002","mobile","Daejeon","Daejeon"
"819",6079347,9580678,176,20180423,74,"1,445","mobile","Daejeon","Daejeon"
"1085",6032146,1918974,56,20180829,20,"188","mobile","Seoul","Seoul"
"1086",6032146,6243026,37,20180618,20,"147","mobile","Seoul","Seoul"
"1339",6084247,1801293,11,20180831,113,"847","mobile","Seoul","Seoul"
"1420",6160096,265395,54,20180926,191,"1,411","mobile","Gangwon-do","Donghae-si"
"1421",6160096,1057592,46,20180913,64,"2,035","mobile","Gangwon-do","Donghae-si"
"2331",6234722,1314524,58,20180909,41,"800","mobile","Seoul","Seoul"
"2764",6528671,1073892,9,20180912,205,"2,017","mobile","Seoul","Seoul"
"2791",6525232,6458765,9,20180614,46,"206","mobile","Incheon","Incheon"
"2792",6525232,6560500,3,20180612,62,"1,185","mobile","Incheon","Incheon"
"2952",4598416,2502295,35,20180819,31,"420","mobile","Seoul","Seoul"
"2953",4598416,2408186,37,20180821,24,"194","mobile","Seoul","Seoul"
"3018",4659246,6675918,36,20180611,21,"870","mobile","Gyeongsangbuk-do","Yeongju-si"
"3019",4659246,18519,49,20180930,140,"2,782","mobile","Seoul","Seoul"
"3324",6176835,1468960,36,20180906,287,"3,315","mobile","Busan","Busan"
"3325",6176835,1410798,39,20180907,42,"798","mobile","Jeollanam-do","Yeosu-si"
"3326",6176835,47560,53,20180930,161,"1,957","mobile","Jeollanam-do","Yeosu-si"
"3327",6176835,606098,49,20180920,33,"344","mobile","Daegu","Daegu"
"3678",6226948,5259109,3,20180704,6,"53","mobile","Busan","Busan"
"3679",6226948,5307694,2,20180703,39,"503","mobile","Busan","Busan"
"3726",6226206,7169500,5,20180603,77,"1,179","mobile","Seoul","Seoul"
"3730",6227648,8342601,440,20180514,18,"142","mobile","Gyeonggi-do","Yangju-si"
"3731",6227648,9121192,410,20180501,18,"296","mobile","Gyeonggi-do","Yangju-si"
"3732",6227648,8340030,441,20180514,56,"261","mobile","Seoul","Seoul"
"3733",6227648,8148179,455,20180517,32,"325","mobile","Gyeonggi-do","Yangju-si"
"3734",6227648,10307132,342,20180411,130,"1,673","mobile","Gyeonggi-do","Yangju-si"
"3735",6227648,6697285,494,20180610,49,"671","mobile","Gyeonggi-do","Yangju-si"
"3736",6227648,9405152,393,20180426,45,"259","mobile","Gyeonggi-do","Yangju-si"
"3960",6128617,4072347,107,20180723,32,"284","mobile","Seoul","Seoul"
"3961",6128617,7923134,64,20180521,33,"245","mobile","Gyeonggi-do","Bucheon-si"
"4282",4602008,8945962,3,20180504,62,"812","mobile","Daegu","Daegu"
"4525",6188569,1290158,133,20180909,46,"894","mobile","Jeollanam-do","Mokpo-si"
"4526",6188569,129358,153,20180928,84,"1,783","mobile","Jeollanam-do","Mokpo-si"
"4645",6201856,5174029,50,20180705,33,"509","mobile","Gyeonggi-do","Seongnam-si"
"4965",6244255,496313,11,20180922,25,"371","mobile","Chungcheongbuk-do","Jincheon-gun"
"6017",6213886,10330382,51,20180411,95,"944","mobile","Ulsan","Ulsan"
"6354",6314842,4368192,4,20180718,57,"1,199","mobile","Seoul","Seoul"
"6355",6314898,891320,53,20180915,31,"285","mobile","Jeollabuk-do","Iksan"
"6356",6314898,823828,55,20180916,147,"1,078","mobile","Jeollabuk-do","Iksan"
"6357",6314898,1727783,45,20180902,46,"259","mobile","Jeollabuk-do","Iksan"
"6783",6277332,7733218,1,20180524,48,"967","mobile","Seoul","Seoul"
"6812",4705569,4958675,1,20180709,113,"1,585","mobile","Seoul","Seoul"
"7005",6367906,5386497,4,20180702,57,"502","mobile","Busan","Busan"
"7309",6381841,8122102,42,20180518,324,"2,650","mobile","Busan","Busan"
"7310",6381841,8311493,36,20180515,235,"3,057","mobile","Seoul","Seoul"
"7311",6381841,7452228,52,20180529,236,"2,497","mobile","Busan","Busan"
"7507",4770366,4797800,21,20180711,46,"1,265","mobile","Gyeonggi-do","Ansan-si"
"7508",4770366,2156380,48,20180825,61,"638","mobile","Seoul","Seoul"
"7509",4770366,2805624,38,20180814,124,"2,524","mobile","Seoul","Seoul"
"7510",4770366,2906508,33,20180812,256,"3,360","mobile","Seoul","Seoul"
"7511",4770366,2835361,37,20180813,122,"1,641","mobile","Gyeonggi-do","Ansan-si"
"7515",4770484,6741160,73,20180609,27,"825","mobile","Busan","Busan"
"7516",4770484,7607110,63,20180526,84,"881","mobile","Busan","Busan"
"7754",6408754,2322266,19,20180822,42,"1,585","mobile","Seoul","Seoul"
"8076",6278410,1870556,16,20180830,68,"771","mobile","Busan","Busan"
"8573",2929312,8312304,43,20180515,45,"297","mobile","Gyeonggi-do","Seongnam-si"
"8574",2929312,8198511,44,20180516,39,"1,762","mobile","Gyeonggi-do","Seongnam-si"
"8575",2929312,9385628,42,20180427,75,"2,280","mobile","Gyeonggi-do","Seongnam-si"
"9177",6259740,2419114,2,20180820,186,"1,444","mobile","Seoul","Seoul"
"9178",6259740,2417830,3,20180820,152,"972","mobile","Seoul","Seoul"
"9388",4787664,3973522,7,20180725,25,"288","mobile","Seoul","Seoul"
"9409",4788907,7933306,5,20180521,81,"754","mobile","Seoul","Seoul"
"9410",4788907,6432018,14,20180614,28,"457","mobile","Seoul","Seoul"
"9647",6361202,9831848,21,20180419,77,"1,066","mobile","Jeollabuk-do","Jeongeup-si"
"9970",6384556,2180399,2,20180825,53,"768","mobile","Seoul","Seoul"
"9997",4724913,9124175,2,20180501,21,"213","mobile","Seoul","Seoul"
"9998",4724913,9026628,7,20180503,1,"","mobile","Seoul","Seoul"
"9999",4724913,9082310,5,20180502,2,"3","mobile","Seoul","Seoul"
"10000",4724913,9040089,6,20180502,1,"","mobile","Seoul","Seoul"
"10001",4724913,9092808,3,20180502,5,"37","mobile","Gyeonggi-do","Bucheon-si"
"10006",4727966,2269969,26,20180823,30,"548","mobile","Daegu","Daegu"
"10007",4727966,3662549,22,20180730,39,"681","mobile","Daegu","Daegu"
"10021",4728640,9910052,4,20180418,148,"1,511","mobile","Seoul","Seoul"
"10369",6411296,5441447,84,20180701,224,"1,012","mobile","Gyeonggi-do","Goyang-si"
"10370",6411296,9065040,70,20180502,41,"928","mobile","Seoul","Seoul"
"10371",6411296,8507364,77,20180511,69,"232","mobile","Gyeonggi-do","Goyang-si"
"11208",6316148,3898735,3,20180726,31,"719","mobile","Gyeonggi-do","Suwon-si"
"11209",6316148,1592240,9,20180904,29,"481","mobile","Seoul","Seoul"
"11350",5031243,7947868,5,20180521,26,"724","mobile","Jeollabuk-do","Gochang-gun"
"12394",6393632,776727,34,20180917,35,"512","mobile","Ulsan","Ulsan"
"12999",6488905,1281513,75,20180909,157,"3,014","mobile","Seoul","Seoul"
"13067",4891106,10052828,211,20180416,9,"322","mobile","Seoul","Seoul"
"13068",4891106,6245822,269,20180618,93,"789","mobile","Seoul","Seoul"
"13069",4891106,4257032,306,20180720,137,"1,835","mobile","Seoul","Seoul"
"13070",4891106,10474075,202,20180409,12,"100","mobile","Seoul","Seoul"
"13071",4891106,8519089,244,20180511,278,"1,993","mobile","Seoul","Seoul"
"13072",4891106,5806718,275,20180625,176,"1,764","mobile","Seoul","Seoul"
"13073",4891106,9231576,235,20180429,280,"1,322","mobile","Seoul","Seoul"
"13074",4891106,10902272,183,20180402,24,"342","mobile","Seoul","Seoul"
"13075",4891106,8255980,251,20180515,46,"627","mobile","Seoul","Seoul"
"13543",3091700,2754867,10,20180815,31,"178","mobile","Seoul","Seoul"
"13544",3091700,7161478,4,20180603,27,"362","mobile","Seoul","Seoul"
"13545",3091700,3245943,7,20180806,19,"91","mobile","Seoul","Seoul"
"14735",3250894,5789450,15,20180625,25,"209","mobile","Busan","Busan"
"14736",3250894,5754810,17,20180626,53,"2,452","mobile","Busan","Busan"
"15069",4942923,10020009,4,20180416,35,"926","mobile","Seoul","Seoul"
"15070",4942923,10020125,3,20180416,12,"131","mobile","Seoul","Seoul"
"15185",6431736,9224979,2,20180430,59,"1,236","mobile","Daegu","Daegu"
"15205",6510595,148269,48,20180928,85,"2,915","mobile","Busan","Busan"
"15206",6510595,393181,40,20180924,279,"2,871","mobile","Busan","Busan"
"15223",6506425,5717480,3,20180626,27,"733","tablet","Daegu","Daegu"
"15352",6489588,7538265,73,20180527,37,"575","mobile","Seoul","Seoul"
"15353",6489588,7621072,70,20180526,106,"2,429","mobile","Gyeonggi-do","Osan-si"
"16144",6456443,8870902,30,20180505,149,"613","mobile","Daegu","Daegu"
"16151",6467469,8574333,3,20180510,104,"3,197","mobile","Busan","Busan"
"16263",4994592,10333197,17,20180411,177,"2,217","mobile","Jeollabuk-do","Imsil-gun"
"16264",4994592,2901413,48,20180812,58,"1,223","mobile","Jeollabuk-do","Jeonju-si"
"16265",4994592,3949244,42,20180725,215,"1,601","mobile","Jeollabuk-do","Jeonju-si"
"16507",5097663,6238850,27,20180618,5,"90","mobile","Seoul","Seoul"
"16568",6329847,10705816,34,20180405,142,"1,747","mobile","Seoul","Seoul"
"16569",6329847,7649751,51,20180526,64,"936","mobile","Seoul","Seoul"
"16604",6333434,2872503,4,20180813,35,"327","mobile","Seoul","Seoul"
"16605",6333434,53859,9,20180930,24,"1,348","mobile","Jeollanam-do","Goheung-gun"
"16606",6333434,4867519,1,20180710,70,"547","mobile","Gyeonggi-do","Hanam-si"
"16628",6330780,8699946,57,20180508,118,"1,256","mobile","Jeollanam-do","Muan-gun"
"16629",6330780,7856269,68,20180522,138,"3,081","mobile","Busan","Busan"
"16630",6330780,10089252,48,20180415,99,"1,253","mobile","Jeollanam-do","Mokpo-si"
"16641",6333512,9723664,35,20180421,64,"521","mobile","Seoul","Seoul"
"16642",6333512,8471334,37,20180512,64,"612","mobile","Seoul","Seoul"
"16670",6335227,9316520,46,20180428,43,"688","mobile","Gyeonggi-do","Bucheon-si"
"16671",6335227,7078326,72,20180604,25,"763","mobile","Gyeonggi-do","Bucheon-si"
"17528",6512377,10907828,2,20180402,25,"476","mobile","Gyeonggi-do","Suwon-si"
"17534",6485890,4463197,3,20180717,94,"836","mobile","Gyeonggi-do","Hwaseong-si"
"17690",4848257,7347600,12,20180531,54,"315","mobile","Busan","Busan"
"17691",4848257,10912368,1,20180402,46,"1,292","mobile","Busan","Busan"
"17692",4848257,9877734,3,20180419,26,"145","mobile","Busan","Busan"
"17693",4848257,3861853,20,20180727,21,"134","mobile","Busan","Busan"
"17932",6525977,1434074,329,20180906,66,"521","mobile","Seoul","Seoul"
"17933",6525977,1063210,375,20180913,16,"259","mobile","Seoul","Seoul"
"17934",6525977,470632,424,20180922,52,"395","mobile","Seoul","Seoul"
"17935",6525977,724812,404,20180918,99,"3,196","mobile","Seoul","Seoul"
"18393",6472350,2327138,2,20180822,79,"1,142","mobile","Seoul","Seoul"
"18690",3013620,8612541,22,20180510,51,"552","mobile","Gyeongsangnam-do","Hadong-gun"
"18691",3013620,8596237,27,20180510,26,"288","mobile","Gyeongsangnam-do","Jinju-si"
"18808",5037499,6382262,18,20180615,119,"2,118","mobile","Gwangju","Gwangju"
"18809",5037499,7605423,4,20180526,112,"2,741","mobile","Gwangju","Gwangju"
"19004",5001915,9505622,13,20180425,63,"1,585","mobile","Seoul","Seoul"
"19436",6466497,6600831,26,20180612,105,"641","mobile","Seoul","Seoul"
"19466",4834335,630325,19,20180920,67,"1,426","mobile","Gyeonggi-do","Yangju-si"
"19467",4834335,420318,22,20180923,40,"2,759","mobile","Gyeonggi-do","Yangju-si"
"19512",4804132,3623395,5,20180731,6,"437","mobile","Seoul","Seoul"
"19547",4800949,759275,1,20180917,132,"1,349","mobile","Gyeongsangbuk-do","Gyeongsan-si"
"19788",1731734,10433686,41,20180409,103,"1,431","mobile","Seoul","Seoul"
"19876",3223711,513304,60,20180922,82,"2,032","mobile","Jeollabuk-do","Wanju-gun"
"20183",4827400,122506,1,20180929,78,"2,178","mobile","Chungcheongbuk-do","Cheongju-si"
"20304",6499122,5036166,32,20180708,90,"1,180","mobile","Seoul","Seoul"
"20305",6499122,4111434,45,20180723,143,"1,234","mobile","Seoul","Seoul"
"20602",6092544,2060972,59,20180827,101,"2,207","mobile","Chungcheongnam-do","Nonsan-si"
"20603",6092544,4112285,33,20180723,30,"445","mobile","Chungcheongnam-do","Nonsan-si"
"20604",6092544,5636113,22,20180628,93,"2,609","mobile","Chungcheongnam-do","Nonsan-si"
"20605",6092544,5822796,18,20180625,125,"2,331","mobile","Chungcheongnam-do","Nonsan-si"
"20688",6473695,231489,6,20180927,46,"1,857","mobile","Incheon","Incheon"
"20689",6473695,252716,3,20180927,149,"566","mobile","Incheon","Incheon"
"20690",6481100,262811,2,20180926,43,"1,018","mobile","Gyeongsangbuk-do","Pohang-si"
"20880",6434799,9130905,1,20180501,65,"754","mobile","Seoul","Seoul"
"20926",4889744,4672812,3,20180714,89,"700","mobile","Seoul","Seoul"
"21021",3018174,397537,10,20180924,1,"","mobile","Seoul","Seoul"
"21022",3018174,830835,9,20180916,29,"618","mobile","Gyeonggi-do","Gimpo-si"
"21045",3024992,7445117,54,20180529,374,"2,841","mobile","Seoul","Seoul"
"21046",3024992,8228103,42,20180516,84,"552","mobile","Seoul","Seoul"
"21047",3024992,3241678,81,20180806,51,"556","mobile","Gyeonggi-do","Seongnam-si"
"21090",6560276,3790430,4,20180728,91,"1,321","mobile","Seoul","Seoul"
"21104",6394489,9969788,118,20180417,36,"1,847","mobile","Seoul","Seoul"
"21197",6514765,610894,166,20180920,27,"119","mobile","Busan","Busan"
"21682",6349833,3413719,18,20180803,25,"120","mobile","Seoul","Seoul"
"21683",6349833,9863075,1,20180419,47,"203","mobile","Seoul","Seoul"
"22111",5011769,1211312,17,20180910,277,"1,387","mobile","Seoul","Seoul"
"22235",5038667,8661567,2,20180509,11,"1,649","mobile","Seoul","Seoul"
"22608",6577608,1545139,2,20180905,164,"1,698","mobile","Busan","Busan"
"22609",6577608,1775461,1,20180901,47,"530","mobile","Busan","Busan"
"22798",4926703,5419604,3,20180701,190,"1,891","mobile","Seoul","Seoul"
"22942",6094954,38559,66,20180930,61,"414","mobile","Seoul","Seoul"
"22943",6094954,556698,53,20180921,138,"808","mobile","Seoul","Seoul"
"22988",6105119,8445108,22,20180512,19,"513","mobile","Gyeonggi-do","Bucheon-si"
"22989",6105119,5651,39,20180930,138,"1,711","mobile","Gyeonggi-do","Bucheon-si"
"23054",3240094,6235050,39,20180618,126,"3,082","mobile","Daegu","Daegu"
"23055",3240180,9599005,2,20180423,37,"449","mobile","Seoul","Seoul"
"23342",4927673,3847546,5,20180727,27,"455","mobile","Gyeonggi-do","Seongnam-si"
"23397",4925536,9340040,3,20180428,149,"1,188","mobile","Jeollanam-do","Mokpo-si"
"23567",6293160,257592,56,20180926,80,"716","mobile","Gyeonggi-do","Siheung-si"
"23586",6449152,9094851,40,20180502,37,"424","mobile","Gyeongsangbuk-do","Gumi-si"
"23784",3035664,1330913,2,20180908,413,"4,235","mobile","Gyeonggi-do","Yongin-si"
"24243",6357631,8421920,55,20180513,7,"241","mobile","Gyeonggi-do","Pyeongtaek-si"
"24244",6357631,7199118,90,20180602,58,"276","mobile","Seoul","Seoul"
"24245",6357631,9007296,39,20180503,125,"802","mobile","Gyeonggi-do","Pyeongtaek-si"
"24246",6357631,4664486,175,20180714,64,"1,926","mobile","Gyeonggi-do","Pyeongtaek-si"
"24247",6357631,4351693,202,20180719,10,"190","mobile","Seoul","Seoul"
"24248",6357631,7664505,69,20180525,34,"362","mobile","Daegu","Daegu"
"24341",27706,8345868,2,20180514,109,"2,122","mobile","Busan","Busan"
"24658",5126061,44083,22,20180930,131,"712","mobile","Seoul","Seoul"
"24659",5126061,74761,17,20180929,429,"2,500","mobile","Seoul","Seoul"
"24831",6551130,10159759,8,20180414,223,"3,170","mobile","Seoul","Seoul"
"24900",3216562,7140963,30,20180603,53,"1,208","mobile","Seoul","Seoul"
"24901",3216562,5382908,32,20180702,57,"434","mobile","Seoul","Seoul"
"24902",3216562,9629610,23,20180423,49,"1,336","mobile","Seoul","Seoul"
"24908",3219118,8766310,15,20180507,16,"201","mobile","Seoul","Seoul"
"24909",3219118,9327369,12,20180428,23,"151","mobile","Seoul","Seoul"
"25129",3280764,3164913,116,20180808,28,"267","mobile","Busan","Busan"
"25130",3280764,3016809,121,20180810,70,"600","mobile","Gangwon-do","Wonju-si"
"25182",4973678,4477257,8,20180717,20,"192","mobile","Seoul","Seoul"
"25183",4973678,3480001,26,20180802,48,"313","mobile","Seoul","Seoul"
"25184",4973678,2920165,32,20180812,43,"530","mobile","Seoul","Seoul"
"25359",6581107,4288041,16,20180720,61,"759","mobile","Seoul","Seoul"
"25463",1054702,8586865,34,20180510,14,"152","mobile","Busan","Busan"
"25519",1362298,3354675,4,20180805,69,"1,056","mobile","Seoul","Seoul"
"25578",1298423,5953506,11,20180622,163,"1,222","mobile","Gyeonggi-do","Paju-si"
"25589",1307748,9389713,19,20180427,499,"6,829","mobile","Chungcheongnam-do","Asan-si"
"26170",180236,8768933,39,20180507,94,"390","mobile","Seoul","Seoul"
"26511",5158261,9493197,48,20180425,41,"249","mobile","Seoul","Seoul"
"26512",5158261,8629324,52,20180509,67,"379","mobile","Seoul","Seoul"
"26757",3243245,7630928,9,20180526,12,"486","mobile","Seoul","Seoul"
"27003",2499026,10923794,19,20180401,97,"2,666","mobile","Seoul","Seoul"
"27041",3280764,8443485,57,20180512,98,"2,626","mobile","Gangwon-do","Wonju-si"
"27042",3280764,3148264,118,20180808,59,"430","mobile","Busan","Busan"
"27189",5248463,4739283,456,20180712,87,"1,666","mobile","Seoul","Seoul"
"27190",5248463,2466173,500,20180820,74,"1,620","mobile","Gyeongsangnam-do","Gimhae-si"
"27191",5248463,7938654,396,20180521,46,"1,228","mobile","Seoul","Seoul"
"27192",5248463,5309048,442,20180703,47,"2,109","mobile","Seoul","Seoul"
"27193",5248463,7501629,410,20180528,26,"228","mobile","Seoul","Seoul"
"27194",5248463,9182094,367,20180430,51,"447","mobile","Seoul","Seoul"
"27195",5248463,2592852,492,20180818,213,"4,400","mobile","Gyeongsangnam-do","Gimhae-si"
"27196",5248463,5948169,432,20180623,206,"3,390","mobile","Seoul","Seoul"
"27197",5248463,6229393,427,20180618,42,"395","mobile","Seoul","Seoul"
"27198",5248463,7072539,416,20180604,71,"370","mobile","Seoul","Seoul"
"27220",5324955,6239921,71,20180618,51,"2,302","mobile","Chungcheongnam-do","Yeongi-gun"
"27221",5324955,9081065,50,20180502,45,"3,240","mobile","Chungcheongnam-do","Yeongi-gun"
